[2016-09-26][10:20:41] name=»ã²ı¹ú¼Ê²úÈ¨ product=KCBP licensetype=0x12 expireddate=20160930 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x2980b0, password=
[2016-09-26][10:21:53] name=¸ÊËà¹ÉÈ¨ product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x2980b0, password=
[2016-09-26][10:22:18] name=ÉÂÎ÷¹ÉÈ¨½»Ò×ÖĞĞÄ product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x2980b0, password=
[2016-09-26][10:22:32] name=¹ş¶û±õ¹ÉÈ¨ product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x2980b0, password=
[2016-09-26][10:23:08] name=ÖĞÒÕ²Æ¸» product=KCBP licensetype=0x12 expireddate=20161130 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x2980b0, password=
[2016-09-26][10:23:22] name=ËÄ´¨»·½»Ëù product=KCBP licensetype=0x12 expireddate=20161130 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x2980b0, password=
[2016-09-26][10:23:35] name=ÉÏº£ÔÃÊÀ product=KCBP licensetype=0x12 expireddate=20161130 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x2980b0, password=
[2016-09-26][10:24:00] name=Ïã¸ÛÒÕ½»Ëù product=KCBP licensetype=0x12 expireddate=20161031 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x2980b0, password=
[2016-09-26][17:25:59] name=¶«·½Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20161226 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x5780b0, password=
[2016-10-14][11:01:02] name=¹ãÖİÖ¤È¯ product=KCBP licensetype=0x12 expireddate=20171017 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x55ee50, password=
[2016-10-14][11:01:40] name=¹ãÖİÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171017 netaddress= thread#=0 cpu#=0, client#=0, function=0x20, reserved=0, license=0x55ee50, password=
[2016-10-14][11:01:59] name=¹ãÖİÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171017 netaddress= thread#=0 cpu#=0, client#=0, function=0x2f, reserved=0, license=0x55ee50, password=
[2016-10-14][11:02:02] name=¹ãÖİÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171017 netaddress= thread#=0 cpu#=0, client#=0, function=0x2f, reserved=0, license=0x55ee50, password=
[2016-10-14][13:57:32] name=test product=KCBP licensetype=0x32 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x4f, reserved=0, license=0x7bddc8, password=
[2016-10-14][15:55:11] name=¹ãÖİÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171017 netaddress= thread#=0 cpu#=0, client#=0, function=0x40, reserved=0, license=0x29aa60, password=
[2016-10-14][15:55:35] name=¹ãÖİÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171017 netaddress= thread#=0 cpu#=0, client#=0, function=0x40, reserved=0, license=0x29aa60, password=
[2016-10-17][16:37:03] name=¹ãÖİÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171017 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x4faa68, password=
[2016-10-25][09:08:06] name=Ïã¸ÛÒÕ½»Ëù product=KCBP licensetype=0x12 expireddate=20161130 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x54e7c0, password=
[2016-10-25][09:08:30] name=±±·½»·½»Ëù product=KCBP licensetype=0x12 expireddate=20161130 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x54e7c0, password=
[2016-10-25][09:08:47] name=±±¾©¹ÉÈ¨ product=KCBP licensetype=0x12 expireddate=20161130 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x54e7c0, password=
[2016-10-25][09:09:08] name=ÖĞ¹ú¹¤ÒÕ product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x54e7c0, password=
[2016-10-25][09:09:30] name=ÉîÛÚÇ°º£½ğÈÚ×Ê²ú½» product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x54e7c0, password=
[2016-10-26][09:50:38] name=¶«·½Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20161226 netaddress= thread#=0 cpu#=0, client#=0, function=0x4f, reserved=0, license=0x5cac40, password=
[2016-10-26][09:51:10] name=¶«·½Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20161226 netaddress= thread#=0 cpu#=0, client#=0, function=0x4f, reserved=0, license=0x5cac40, password=
[2016-10-26][09:51:51] name=¶«·½Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20161226 netaddress= thread#=0 cpu#=0, client#=0, function=0x4f, reserved=0, license=0x5cac40, password=
[2016-10-28][15:15:28] name=½ğÖ¤¹É·İ product=KCBP licensetype=0x12 expireddate=20171231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x38ac40, password=
[2016-10-28][15:15:39] name=½ğÖ¤¹É·İ product=KCBP licensetype=0x12 expireddate=20171231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x38ac40, password=
[2016-11-02][10:02:32] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x12 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x578488, password=
[2016-11-02][10:02:57] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x578488, password=
[2016-11-02][10:03:08] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x2f, reserved=0, license=0x578488, password=
